name,ligID,targetID_vina,instance_vina,vina,targetID_dsx,instance_dsx,dsx,rmsd_vina_dsx,consensus
CHEMBL1836893,lig0001,target001,vina,-8.342,target001,vina,-124.950,5.548,False
CHEMBL4078859,lig0002,target001,autodock,-8.146,target001,vina,-130.739,0.771,True
CHEMBL4103135,lig0003,target001,vina,-8.597,target001,vina,-122.602,0.000,True
CHEMBL1836881,lig0004,target001,vina,-9.502,target001,vina,-146.520,0.000,True
CHEMBL1836879,lig0005,target001,vina,-7.904,target001,vina,-131.774,2.123,False
CHEMBL2315166,lig0006,target001,autodock,-9.102,target001,dock,-137.773,0.964,True
CHEMBL4070546,lig0007,target001,autodock,-7.747,target001,autodock,-114.963,0.000,True
CHEMBL4094458,lig0008,target001,dock,-8.681,target001,autodock,-116.461,0.979,True
CHEMBL4095178,lig0009,target001,autodock,-8.463,target001,autodock,-131.432,2.461,False
CHEMBL4074704,lig0010,target001,dock,-8.250,target001,dock,-127.304,0.000,True
CHEMBL2315165,lig0011,target001,autodock,-8.639,target001,autodock,-139.509,1.283,True
CHEMBL1082983,lig0012,target001,vina,-9.682,target001,vina,-123.727,0.000,True
CHEMBL4086717,lig0013,target001,vina,-7.623,target001,vina,-116.557,0.000,True
CHEMBL2315152,lig0014,target001,autodock,-8.715,target001,autodock,-127.726,0.000,True
CHEMBL519690,lig0015,target001,dock,-8.262,target001,dock,-127.955,0.000,True
CHEMBL4088330,lig0016,target001,autodock,-8.401,target001,autodock,-121.853,0.000,True
CHEMBL483597,lig0017,target001,vina,-9.569,target001,vina,-137.023,0.000,True
CHEMBL4104700,lig0018,target001,autodock,-8.105,target001,autodock,-131.096,2.075,False
CHEMBL1271706,lig0019,target001,vina,-10.129,target001,vina,-135.585,0.000,True
CHEMBL426485,lig0020,target001,vina,-7.975,target001,vina,-122.283,0.000,True
CHEMBL4079841,lig0021,target001,autodock,-7.595,target001,autodock,-121.548,1.080,True
CHEMBL1836895,lig0022,target001,autodock,-9.067,target001,dock,-123.197,1.432,True
CHEMBL383765,lig0023,target001,dock,-8.483,target001,autodock,-116.062,0.304,True
CHEMBL1836896,lig0024,target001,vina,-8.521,target001,autodock,-119.447,1.228,True
CHEMBL4100122,lig0025,target001,vina,-8.459,target001,autodock,-115.905,5.849,False
CHEMBL4090816,lig0026,target001,autodock,-7.783,target001,autodock,-118.097,0.000,True
CHEMBL4092365,lig0027,target001,vina,-7.990,target001,autodock,-114.002,1.965,True
CHEMBL1760582,lig0028,target001,dock,-8.630,target001,dock,-104.912,0.000,True
CHEMBL2315154,lig0029,target001,dock,-8.881,target001,dock,-138.436,0.000,True
CHEMBL1086473,lig0030,target001,vina,-10.328,target001,vina,-128.201,0.000,True
CHEMBL4075866,lig0031,target001,vina,-7.888,target001,autodock,-132.433,1.257,True
CHEMBL4082112,lig0032,target001,vina,-8.121,target001,vina,-109.003,0.000,True
CHEMBL2315163,lig0033,target001,dock,-7.490,target001,dock,-136.435,1.914,True
CHEMBL4646933,lig0034,target001,autodock,-9.219,target001,autodock,-121.521,0.000,True
CHEMBL3827413,lig0035,target001,vina,-8.049,target001,autodock,-124.035,5.999,False
CHEMBL1086474,lig0036,target001,vina,-9.421,target001,vina,-123.846,5.657,False
CHEMBL4096097,lig0037,target001,vina,-7.319,target001,autodock,-112.164,2.149,False
CHEMBL4079597,lig0038,target001,autodock,-8.641,target001,autodock,-121.653,0.000,True
CHEMBL1760443,lig0039,target001,vina,-8.808,target001,vina,-106.311,0.000,True
CHEMBL4642612,lig0040,target001,autodock,-9.278,target001,autodock,-130.274,0.000,True
CHEMBL1836894,lig0041,target001,autodock,-8.596,target001,autodock,-130.288,0.000,True
CHEMBL4097707,lig0042,target001,autodock,-7.849,target001,dock,-119.629,21.377,False
CHEMBL4066900,lig0043,target001,autodock,-7.593,target001,autodock,-115.161,0.000,True
CHEMBL4065927,lig0044,target001,vina,-8.493,target001,dock,-124.096,5.166,False
CHEMBL4065786,lig0045,target001,autodock,-8.447,target001,autodock,-123.008,2.219,False
CHEMBL4170901,lig0046,target001,autodock,-9.049,target001,autodock,-145.587,0.000,True
CHEMBL4103710,lig0047,target001,vina,-8.252,target001,dock,-117.622,4.653,False
CHEMBL1082642,lig0048,target001,vina,-10.416,target001,vina,-124.232,0.000,True
CHEMBL4077873,lig0049,target001,vina,-7.780,target001,vina,-111.327,4.424,False
CHEMBL4071479,lig0050,target001,vina,-8.008,target001,vina,-116.733,0.000,True
CHEMBL4644843,lig0051,target001,autodock,-9.214,target001,autodock,-122.692,0.000,True
CHEMBL1082982,lig0052,target001,autodock,-10.156,target001,autodock,-130.161,1.352,True
CHEMBL4074552,lig0053,target001,vina,-7.947,target001,autodock,-113.670,0.721,True
CHEMBL3221827,lig0054,target001,vina,-8.593,target001,autodock,-101.518,6.005,False
CHEMBL4071587,lig0055,target001,autodock,-7.159,target001,autodock,-110.685,4.649,False
CHEMBL4075504,lig0056,target001,autodock,-7.116,target001,vina,-118.993,4.972,False
CHEMBL4162974,lig0057,target001,autodock,-7.900,target001,autodock,-137.093,0.000,True
CHEMBL1082307,lig0058,target001,autodock,-9.486,target001,vina,-130.289,4.668,False
CHEMBL215536,lig0059,target001,vina,-7.928,target001,autodock,-117.127,4.841,False
CHEMBL4645797,lig0060,target001,autodock,-8.873,target001,autodock,-123.041,0.000,True
CHEMBL4102127,lig0061,target001,vina,-7.515,target001,vina,-109.920,0.000,True
CHEMBL4069818,lig0062,target001,dock,-7.030,target001,vina,-116.287,0.638,True
CHEMBL4069667,lig0063,target001,vina,-8.175,target001,vina,-123.363,0.000,True
CHEMBL4160925,lig0064,target001,autodock,-8.501,target001,autodock,-137.647,0.000,True
CHEMBL4455899,lig0065,target001,autodock,-8.305,target001,autodock,-88.529,3.879,False
CHEMBL1282,lig0066,target001,autodock,-8.805,target001,dock,-94.045,19.308,False
CHEMBL4101498,lig0067,target001,autodock,-7.501,target001,autodock,-113.687,1.167,True
CHEMBL549344,lig0068,target001,vina,-8.931,target001,vina,-117.083,0.000,True
CHEMBL4084584,lig0069,target001,autodock,-7.440,target001,autodock,-105.244,0.310,True
CHEMBL4161057,lig0070,target001,autodock,-9.511,target001,autodock,-149.560,0.000,True
CHEMBL213396,lig0071,target001,dock,-7.481,target001,vina,-128.339,6.330,False
CHEMBL3221818,lig0072,target001,vina,-8.401,target001,vina,-94.078,0.000,True
CHEMBL3221824,lig0073,target001,vina,-8.236,target001,autodock,-100.941,4.944,False
CHEMBL3221825,lig0074,target001,dock,-7.112,target001,vina,-95.517,4.649,False
CHEMBL3221830,lig0075,target001,autodock,-9.277,target001,autodock,-111.258,2.319,False
CHEMBL3221822,lig0076,target001,vina,-7.726,target001,autodock,-96.983,4.997,False
CHEMBL3221823,lig0077,target001,autodock,-8.874,target001,autodock,-99.853,0.000,True
CHEMBL4456944,lig0078,target001,autodock,-9.521,target001,dock,-102.161,20.761,False
CHEMBL4448786,lig0079,target001,autodock,-8.129,target001,dock,-89.058,19.959,False
CHEMBL4644708,lig0080,target001,autodock,-9.451,target001,autodock,-126.647,0.744,True
CHEMBL3485054,lig0081,target001,autodock,-9.162,target001,autodock,-93.362,4.929,False
CHEMBL3963922,lig0082,target001,autodock,-7.344,target001,autodock,-121.444,10.634,False
CHEMBL4590302,lig0083,target001,vina,-7.861,target001,dock,-94.930,20.443,False
CHEMBL4455751,lig0084,target001,autodock,-7.767,target001,autodock,-82.634,5.133,False
CHEMBL4644723,lig0085,target001,autodock,-7.335,target001,autodock,-113.480,0.000,True
CHEMBL4514055,lig0086,target001,autodock,-7.635,target001,autodock,-87.663,4.991,False
CHEMBL3975213,lig0087,target001,vina,-7.937,target001,autodock,-134.553,1.455,True
CHEMBL4473706,lig0088,target001,autodock,-8.099,target001,dock,-83.788,19.954,False
CHEMBL195276,lig0089,target001,vina,-8.902,target001,vina,-93.737,0.000,True
CHEMBL4285025,lig0090,target001,autodock,-7.603,target001,vina,-100.360,0.983,True
CHEMBL4288029,lig0091,target001,vina,-10.080,target001,autodock,-129.817,4.969,False
CHEMBL4276704,lig0092,target001,dock,-7.860,target001,autodock,-135.969,4.495,False
CHEMBL4280136,lig0093,target001,vina,-8.031,target001,vina,-114.654,0.000,True
CHEMBL4290288,lig0094,target001,vina,-9.089,target001,autodock,-111.624,7.054,False
CHEMBL3915625,lig0095,target001,autodock,-7.950,target001,autodock,-127.608,0.811,True
CHEMBL4286476,lig0096,target001,autodock,-7.844,target001,autodock,-110.688,9.447,False
CHEMBL4278564,lig0097,target001,vina,-8.234,target001,autodock,-113.061,9.019,False
CHEMBL4293700,lig0098,target001,vina,-8.561,target001,autodock,-114.731,9.186,False
CHEMBL4284645,lig0099,target001,autodock,-7.799,target001,vina,-113.700,4.502,False
CHEMBL4283103,lig0100,target001,vina,-8.906,target001,autodock,-106.033,6.910,False
CHEMBL4166427,lig0101,target001,vina,-7.762,target001,vina,-124.978,0.000,True
CHEMBL2216759,lig0102,target001,autodock,-8.193,target001,autodock,-107.089,0.000,True
CHEMBL4645696,lig0103,target001,vina,-6.136,target001,autodock,-107.275,14.719,False
ZINC000000000012,lig0104,target001,autodock,-8.174,target001,autodock,-98.491,6.030,False
ZINC000000000015,lig0105,target001,autodock,-4.430,target001,autodock,-64.381,4.557,False
ZINC000000000018,lig0106,target001,vina,-5.881,target001,vina,-76.956,5.222,False
ZINC000000000021,lig0107,target001,vina,-6.424,target001,autodock,-92.961,0.425,True
ZINC000000000024,lig0108,target001,dock,-8.758,target001,vina,-97.851,0.127,True
ZINC000000000028,lig0109,target001,autodock,-7.366,target001,vina,-85.131,20.315,False
ZINC000000000031,lig0110,target001,vina,-6.266,target001,vina,-89.315,0.000,True
ZINC000000000035,lig0111,target001,vina,-7.377,target001,autodock,-105.185,3.154,False
ZINC000000000039,lig0112,target001,vina,-6.811,target001,vina,-102.013,5.913,False
ZINC000000000044,lig0113,target001,vina,-6.984,target001,dock,-70.502,21.059,False
ZINC000000000045,lig0114,target001,vina,-5.879,target001,dock,-75.512,3.354,False
ZINC000000000048,lig0115,target001,autodock,-6.999,target001,autodock,-84.076,0.028,True
ZINC000000000051,lig0116,target001,autodock,-7.292,target001,autodock,-85.373,0.000,True
ZINC000000000061,lig0117,target001,dock,-6.154,target001,autodock,-75.171,2.868,False
ZINC000000000076,lig0118,target001,vina,-8.226,target001,autodock,-75.904,3.337,False
ZINC000000000078,lig0119,target001,vina,-7.980,target001,dock,-88.028,21.278,False
ZINC000000000083,lig0120,target001,autodock,-4.635,target001,vina,-58.333,15.799,False
ZINC000000000088,lig0121,target001,autodock,-8.106,target001,autodock,-108.781,0.000,True
ZINC000000000123,lig0122,target001,vina,-9.612,target001,autodock,-108.578,4.858,False
ZINC000000000125,lig0123,target001,vina,-7.031,target001,autodock,-66.575,4.711,False
ZINC000000000128,lig0124,target001,vina,-6.988,target001,vina,-95.965,4.098,False
ZINC000000000130,lig0125,target001,vina,-6.674,target001,autodock,-76.819,1.766,True
ZINC000000000133,lig0126,target001,autodock,-7.659,target001,dock,-73.910,20.980,False
ZINC000000000135,lig0127,target001,vina,-6.319,target001,dock,-71.445,19.484,False
ZINC000000000136,lig0128,target001,vina,-6.484,target001,dock,-77.365,0.695,True
ZINC000000000137,lig0129,target001,vina,-7.453,target001,vina,-96.587,4.775,False
ZINC000000000140,lig0130,target001,vina,-6.732,target001,vina,-80.383,22.308,False
ZINC000000000142,lig0131,target001,vina,-9.081,target001,dock,-102.022,19.784,False
ZINC000000000145,lig0132,target001,vina,-10.314,target001,vina,-95.536,0.000,True
ZINC000000000152,lig0133,target001,autodock,-9.305,target001,dock,-117.466,3.817,False
ZINC000000000153,lig0134,target001,autodock,-6.864,target001,autodock,-99.411,4.057,False
ZINC000000000164,lig0135,target001,vina,-7.708,target001,vina,-102.727,0.000,True
ZINC000000000166,lig0136,target001,vina,-6.793,target001,vina,-87.117,0.000,True
ZINC000000000167,lig0137,target001,autodock,-7.989,target001,autodock,-104.371,5.303,False
ZINC000000000172,lig0138,target001,autodock,-7.486,target001,vina,-87.144,6.646,False
ZINC000000000176,lig0139,target001,vina,-7.658,target001,vina,-82.087,6.478,False
ZINC000000000179,lig0140,target001,autodock,-8.771,target001,autodock,-98.742,4.222,False
ZINC000000000181,lig0141,target001,vina,-6.398,target001,autodock,-92.436,1.111,True
ZINC000000000184,lig0142,target001,vina,-6.214,target001,autodock,-70.241,3.889,False
ZINC000000000186,lig0143,target001,autodock,-6.973,target001,vina,-89.618,4.884,False
ZINC000000000189,lig0144,target001,vina,-8.265,target001,autodock,-99.972,6.095,False
ZINC000000000196,lig0145,target001,vina,-6.609,target001,vina,-102.384,4.695,False
ZINC000000000198,lig0146,target001,vina,-7.946,target001,vina,-105.744,6.712,False
ZINC000000000200,lig0147,target001,vina,-8.587,target001,autodock,-105.004,4.473,False
ZINC000000000231,lig0148,target001,autodock,-5.319,target001,autodock,-82.863,5.423,False
ZINC000000000232,lig0149,target001,autodock,-6.683,target001,autodock,-71.209,4.706,False
ZINC000000000241,lig0150,target001,vina,-5.929,target001,vina,-78.137,4.140,False
ZINC000000000245,lig0151,target001,vina,-7.413,target001,vina,-86.051,2.256,False
ZINC000000000253,lig0152,target001,autodock,-7.503,target001,autodock,-100.597,0.000,True
ZINC000000000254,lig0153,target001,vina,-7.915,target001,autodock,-85.976,0.010,True
ZINC000000000255,lig0154,target001,vina,-8.552,target001,vina,-106.112,5.965,False
ZINC000000000259,lig0155,target001,autodock,-8.931,target001,autodock,-109.659,0.052,True
ZINC000000000267,lig0156,target001,vina,-4.865,target001,vina,-54.210,3.928,False
ZINC000000000268,lig0157,target001,vina,-7.769,target001,autodock,-95.379,1.057,True
ZINC000000000270,lig0158,target001,autodock,-8.627,target001,autodock,-100.959,0.000,True
